Time(s),totalNaloxone_mg,m_AfferentChemoreceptor_Hz ,m_CentralFrequencyDelta_Per_min ,m_CentralPressureDelta_cmH2O ,m_PeripheralFrequencyDelta_Per_min ,m_PeripheralPressureDelta_cmH2O ,m_OxygenAutoregulatorHeart ,m_OxygenAutoregulatorMuscle ,OxygenSaturation,HeartRate(1/min),Fentanyl-PlasmaConcentration(ug/mL),Naloxone-PlasmaConcentration,Fentanyl-EffectSiteConcentration(ug/mL),Naloxone-EffectSiteConcentration,ArterialBloodPH,CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),TidalVolume(mL),HeartStrokeVolume(mL),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),SystemicVascularResistance(mmHg_s/mL),BloodVolume(mL),MeanUrineOutput(mL/hr),NeuromuscularBlockLevel
1,0,3.49988,0.00108718,0.00100953,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0153798,0,1.88E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
1,0,3.49988,0.00108718,0.00100953,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0153798,0,1.88E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
2,0,3.49924,0.00115823,0.0010755,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0300154,0,7.41E-05,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948979,5532.51,60.6791,0
2,0,3.49924,0.00115823,0.0010755,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0300154,0,7.41E-05,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948979,5532.51,60.6791,0
3,0,3.5005,0.00129668,0.00120406,-0.00275886,-0.000919621,0,0,0.979041,72.3615,0.0434465,0,0.000163142,0,7.4121,5809.46,95.8084,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8012,0
3,0,3.5005,0.00129668,0.00120406,-0.00275886,-0.000919621,0,0,0.979041,72.3615,0.0434465,0,0.000163142,0,7.4121,5809.46,95.8084,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8012,0
4,0,3.50117,0.00143468,0.0013322,-0.00269062,-0.000896873,3.57E-06,0,0.979053,72.3298,0.055912,0,0.000283389,0,7.41223,5809.21,95.8175,114.701,74.4096,16.0428,514.497,80.3155,0.0433569,7.03376,0.948984,5532.52,61.1849,0
4,0,3.50117,0.00143468,0.0013322,-0.00269062,-0.000896873,3.57E-06,0,0.979053,72.3298,0.055912,0,0.000283389,0,7.41223,5809.21,95.8175,114.701,74.4096,16.0428,514.497,80.3155,0.0433569,7.03376,0.948984,5532.52,61.1849,0
5,0,3.50036,0.00151789,0.00140947,-0.00262785,-0.00087595,1.21E-05,0,0.979059,72.3103,0.0675699,0,0.000432365,0,7.41231,5809.54,95.8319,114.716,74.4161,16.0428,514.517,80.3418,0.043357,7.03403,0.949083,5532.53,61.3611,0
5,0,3.50036,0.00151789,0.00140947,-0.00262785,-0.00087595,1.21E-05,0,0.979059,72.3103,0.0675699,0,0.000432365,0,7.41231,5809.54,95.8319,114.716,74.4161,16.0428,514.517,80.3418,0.043357,7.03403,0.949083,5532.53,61.3611,0
