Time(s),totalNaloxone_mg,m_AfferentChemoreceptor_Hz ,m_CentralFrequencyDelta_Per_min ,m_CentralPressureDelta_cmH2O ,m_PeripheralFrequencyDelta_Per_min ,m_PeripheralPressureDelta_cmH2O ,m_OxygenAutoregulatorHeart ,m_OxygenAutoregulatorMuscle ,OxygenSaturation,HeartRate(1/min),Fentanyl-PlasmaConcentration(ug/mL),Naloxone-PlasmaConcentration,Fentanyl-EffectSiteConcentration(ug/mL),Naloxone-EffectSiteConcentration,ArterialBloodPH,CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),TidalVolume(mL),HeartStrokeVolume(mL),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),SystemicVascularResistance(mmHg_s/mL),BloodVolume(mL),MeanUrineOutput(mL/hr),NeuromuscularBlockLevel
1,0,3.49988,0.00108718,0.00100953,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0119621,0,1.46E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
1,0,3.49988,0.00108718,0.00100953,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0119621,0,1.46E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
2,0,3.49924,0.00115823,0.0010755,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0233453,0,5.76E-05,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948979,5532.51,60.6791,0
2,0,3.49924,0.00115823,0.0010755,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0233453,0,5.76E-05,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948979,5532.51,60.6791,0
3,0,3.5005,0.00129674,0.00120412,-0.00275886,-0.00091962,0,0,0.979041,72.3615,0.0337917,0,0.000126888,0,7.4121,5809.46,95.8084,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8013,0
3,0,3.5005,0.00129674,0.00120412,-0.00275886,-0.00091962,0,0,0.979041,72.3615,0.0337917,0,0.000126888,0,7.4121,5809.46,95.8084,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8013,0
4,0,3.50117,0.0014351,0.00133259,-0.00269056,-0.000896855,3.57E-06,0,0.979053,72.3299,0.0434871,0,0.000220414,0,7.41223,5809.21,95.8175,114.701,74.4096,16.0428,514.497,80.3155,0.0433569,7.03376,0.948984,5532.52,61.1849,0
4,0,3.50117,0.0014351,0.00133259,-0.00269056,-0.000896855,3.57E-06,0,0.979053,72.3299,0.0434871,0,0.000220414,0,7.41223,5809.21,95.8175,114.701,74.4096,16.0428,514.497,80.3155,0.0433569,7.03376,0.948984,5532.52,61.1849,0
5,0,3.50036,0.00151924,0.00141072,-0.00262775,-0.000875915,1.21E-05,0,0.979059,72.3106,0.0525544,0,0.000336284,0,7.41231,5809.55,95.8321,114.716,74.4162,16.0428,514.516,80.3417,0.0433569,7.03403,0.949083,5532.53,61.3612,0
5,0,3.50036,0.00151924,0.00141072,-0.00262775,-0.000875915,1.21E-05,0,0.979059,72.3106,0.0525544,0,0.000336284,0,7.41231,5809.55,95.8321,114.716,74.4162,16.0428,514.516,80.3417,0.0433569,7.03403,0.949083,5532.53,61.3612,0
6,0,3.50037,0.00161416,0.00149886,-0.00258636,-0.000862121,6.94E-06,0,0.979043,72.3181,0.0609967,0,0.000472727,0,7.41216,5811.32,95.8485,114.738,74.43,16.0428,514.516,80.3577,0.0433569,7.03403,0.948969,5532.53,61.3072,0
