Time(s),totalNaloxone_mg,m_AfferentChemoreceptor_Hz ,m_CentralFrequencyDelta_Per_min ,m_CentralPressureDelta_cmH2O ,m_PeripheralFrequencyDelta_Per_min ,m_PeripheralPressureDelta_cmH2O ,m_OxygenAutoregulatorHeart ,m_OxygenAutoregulatorMuscle ,OxygenSaturation,HeartRate(1/min),Fentanyl-PlasmaConcentration(ug/mL),Naloxone-PlasmaConcentration,Fentanyl-EffectSiteConcentration(ug/mL),Naloxone-EffectSiteConcentration,ArterialBloodPH,CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),TidalVolume(mL),HeartStrokeVolume(mL),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),SystemicVascularResistance(mmHg_s/mL),BloodVolume(mL),MeanUrineOutput(mL/hr),NeuromuscularBlockLevel
1,0,3.49988,0.00108718,0.00100953,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.00341774,0,4.17E-06,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
1,0,3.49988,0.00108718,0.00100953,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.00341774,0,4.17E-06,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
2,0,3.49924,0.00115823,0.0010755,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.00667009,0,1.65E-05,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948979,5532.51,60.6791,0
2,0,3.49924,0.00115823,0.0010755,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.00667009,0,1.65E-05,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948979,5532.51,60.6791,0
3,0,3.5005,0.0012968,0.00120417,-0.00275886,-0.000919619,0,0,0.979041,72.3615,0.00965478,0,3.63E-05,0,7.4121,5809.46,95.8084,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8013,0
3,0,3.5005,0.0012968,0.00120417,-0.00275886,-0.000919619,0,0,0.979041,72.3615,0.00965478,0,3.63E-05,0,7.4121,5809.46,95.8084,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8013,0
4,0,3.50117,0.00143547,0.00133294,-0.00269052,-0.000896839,3.57E-06,0,0.979053,72.3299,0.0124249,0,6.30E-05,0,7.41223,5809.21,95.8176,114.701,74.4097,16.0428,514.497,80.3154,0.0433569,7.03376,0.948984,5532.52,61.185,0
4,0,3.50117,0.00143547,0.00133294,-0.00269052,-0.000896839,3.57E-06,0,0.979053,72.3299,0.0124249,0,6.30E-05,0,7.41223,5809.21,95.8176,114.701,74.4097,16.0428,514.497,80.3154,0.0433569,7.03376,0.948984,5532.52,61.185,0
5,0,3.50036,0.00152043,0.00141182,-0.00262765,-0.000875885,1.21E-05,0,0.979059,72.3107,0.0150155,0,9.61E-05,0,7.41231,5809.56,95.8323,114.716,74.4163,16.0428,514.516,80.3416,0.0433569,7.03402,0.949084,5532.53,61.3612,0
5,0,3.50036,0.00152043,0.00141182,-0.00262765,-0.000875885,1.21E-05,0,0.979059,72.3107,0.0150155,0,9.61E-05,0,7.41231,5809.56,95.8323,114.716,74.4163,16.0428,514.516,80.3416,0.0433569,7.03402,0.949084,5532.53,61.3612,0
6,0,3.50038,0.00161849,0.00150289,-0.0025863,-0.0008621,6.96E-06,0,0.979043,72.3188,0.0174276,0,0.000135065,0,7.41216,5811.35,95.8491,114.738,74.4304,16.0428,514.516,80.3574,0.0433569,7.03402,0.948971,5532.53,61.3074,0
6,0,3.50038,0.00161849,0.00150289,-0.0025863,-0.0008621,6.96E-06,0,0.979043,72.3188,0.0174276,0,0.000135065,0,7.41216,5811.35,95.8491,114.738,74.4304,16.0428,514.516,80.3574,0.0433569,7.03402,0.948971,5532.53,61.3074,0
7,0,3.50178,0.00177338,0.00164671,-0.00251977,-0.000839924,0,0,0.979032,72.3356,0.0196773,0,0.000179457,0,7.41205,5813.49,95.8638,114.761,74.4448,16.0428,514.516,80.3683,0.0433569,7.03402,0.948778,5532.54,61.0694,0
7,0,3.50178,0.00177338,0.00164671,-0.00251977,-0.000839924,0,0,0.979032,72.3356,0.0196773,0,0.000179457,0,7.41205,5813.49,95.8638,114.761,74.4448,16.0428,514.516,80.3683,0.0433569,7.03402,0.948778,5532.54,61.0694,0
8,0,3.50211,0.00190858,0.00177225,-0.00242268,-0.00080756,0,0,0.979048,72.2767,0.0215175,0,0.000228779,0,7.41223,5811.44,95.8794,114.77,74.449,16.0428,514.516,80.4053,0.0433569,7.03402,0.94928,5532.55,61.0366,0
8,0,3.50211,0.00190858,0.00177225,-0.00242268,-0.00080756,0,0,0.979048,72.2767,0.0215175,0,0.000228779,0,7.41223,5811.44,95.8794,114.77,74.449,16.0428,514.516,80.4053,0.0433569,7.03402,0.94928,5532.55,61.0366,0
9,0,3.50123,0.00199435,0.00185189,-0.00233956,-0.000779854,9.69E-07,0,0.979045,72.265,0.0233062,0,0.000282575,0,7.41221,5811.07,95.8862,114.775,74.4543,16.0428,514.539,80.4133,0.0433733,7.03435,0.949411,5532.55,61.428,0
9,0,3.50123,0.00199435,0.00185189,-0.00233956,-0.000779854,9.69E-07,0,0.979045,72.265,0.0233062,0,0.000282575,0,7.41221,5811.07,95.8862,114.775,74.4543,16.0428,514.539,80.4133,0.0433733,7.03435,0.949411,5532.55,61.428,0
10,0,3.50176,0.00211774,0.00196647,-0.00226736,-0.000755785,8.94E-06,0,0.979027,72.2823,0.0250976,0,0.00034055,0,7.41203,5812.36,95.8919,114.786,74.463,16.0428,514.539,80.412,0.0433733,7.03435,0.949261,5532.56,61.6762,0
10,0,3.50176,0.00211774,0.00196647,-0.00226736,-0.000755785,8.94E-06,0,0.979027,72.2823,0.0250976,0,0.00034055,0,7.41203,5812.36,95.8919,114.786,74.463,16.0428,514.539,80.412,0.0433733,7.03435,0.949261,5532.56,61.6762,0
11,0,3.50305,0.00228498,0.00212176,-0.00216049,-0.000720164,6.31E-06,0,0.979027,72.2844,0.0234411,0,0.000398395,0,7.41203,5812.66,95.893,114.789,74.4652,16.0428,514.539,80.4138,0.0433733,7.03435,0.949224,5532.57,61.6779,0
11,0,3.50305,0.00228498,0.00212176,-0.00216049,-0.000720164,6.31E-06,0,0.979027,72.2844,0.0234411,0,0.000398395,0,7.41203,5812.66,95.893,114.789,74.4652,16.0428,514.539,80.4138,0.0433733,7.03435,0.949224,5532.57,61.6779,0
12,0,3.50289,0.00241377,0.00224135,-0.00203427,-0.000678091,0,0,0.97904,72.2541,0.0217834,0,0.000451718,0,7.41217,5810.87,95.8903,114.78,74.4586,16.0428,514.67,80.4227,0.0433645,7.03609,0.949491,5532.58,61.4823,0
12,0,3.50289,0.00241377,0.00224135,-0.00203427,-0.000678091,0,0,0.97904,72.2541,0.0217834,0,0.000451718,0,7.41217,5810.87,95.8903,114.78,74.4586,16.0428,514.67,80.4227,0.0433645,7.03609,0.949491,5532.58,61.4823,0
13,0,3.50201,0.00250445,0.00232556,-0.00192993,-0.00064331,0,0,0.979036,72.2494,0.01998,0,0.000500812,0,7.41215,5810.33,95.888,114.776,74.4579,16.0428,514.67,80.4204,0.0433645,7.03609,0.949555,5532.58,61.3129,0
13,0,3.50201,0.00250445,0.00232556,-0.00192993,-0.00064331,0,0,0.979036,72.2494,0.01998,0,0.000500812,0,7.41215,5810.33,95.888,114.776,74.4579,16.0428,514.67,80.4204,0.0433645,7.03609,0.949555,5532.58,61.3129,0
