Time(s),totalNaloxone_mg,m_AfferentChemoreceptor_Hz ,m_CentralFrequencyDelta_Per_min ,m_CentralPressureDelta_cmH2O ,m_PeripheralFrequencyDelta_Per_min ,m_PeripheralPressureDelta_cmH2O ,m_OxygenAutoregulatorHeart ,m_OxygenAutoregulatorMuscle ,OxygenSaturation,HeartRate(1/min),Fentanyl-PlasmaConcentration(ug/mL),Naloxone-PlasmaConcentration,Fentanyl-EffectSiteConcentration(ug/mL),Naloxone-EffectSiteConcentration,ArterialBloodPH,CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),TidalVolume(mL),HeartStrokeVolume(mL),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),SystemicVascularResistance(mmHg_s/mL),BloodVolume(mL),MeanUrineOutput(mL/hr),NeuromuscularBlockLevel
1,0,3.49988,0.00108718,0.00100952,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0239242,0,2.92E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
1,0,3.49988,0.00108718,0.00100952,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0239242,0,2.92E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
2,0,3.49924,0.00115822,0.00107549,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0466906,0,0.0001152,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.51,60.6791,0
2,0,3.49924,0.00115822,0.00107549,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0466906,0,0.0001152,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.51,60.6791,0
3,0,3.5005,0.00129635,0.00120375,-0.00275889,-0.000919629,0,0,0.979041,72.3615,0.0675835,0,0.000253777,0,7.4121,5809.45,95.8083,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8012,0
3,0,3.5005,0.00129635,0.00120375,-0.00275889,-0.000919629,0,0,0.979041,72.3615,0.0675835,0,0.000253777,0,7.4121,5809.45,95.8083,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8012,0
4,0,3.50115,0.00143249,0.00133017,-0.0026909,-0.000896967,3.57E-06,0,0.979053,72.3296,0.0869743,0,0.000440828,0,7.41223,5809.2,95.8172,114.701,74.4095,16.0428,514.497,80.3156,0.0433569,7.03376,0.948982,5532.52,61.1849,0
4,0,3.50115,0.00143249,0.00133017,-0.0026909,-0.000896967,3.57E-06,0,0.979053,72.3296,0.0869743,0,0.000440828,0,7.41223,5809.2,95.8172,114.701,74.4095,16.0428,514.497,80.3156,0.0433569,7.03376,0.948982,5532.52,61.1849,0
5,0,3.50037,0.00151114,0.0014032,-0.0026284,-0.000876132,1.21E-05,0,0.979059,72.3092,0.105109,0,0.000672568,0,7.41231,5809.5,95.8307,114.714,74.4155,16.0428,514.519,80.3424,0.0433574,7.03406,0.949078,5532.53,61.3608,0
5,0,3.50037,0.00151114,0.0014032,-0.0026284,-0.000876132,1.21E-05,0,0.979059,72.3092,0.105109,0,0.000672568,0,7.41231,5809.5,95.8307,114.714,74.4155,16.0428,514.519,80.3424,0.0433574,7.03406,0.949078,5532.53,61.3608,0
6,0,3.5003,0.00158747,0.00147408,-0.00258678,-0.000862261,6.83E-06,0,0.979043,72.3133,0.121994,0,0.000945455,0,7.41216,5811.09,95.8441,114.734,74.4272,16.0428,514.519,80.36,0.0433574,7.03406,0.94896,5532.53,61.3057,0
6,0,3.5003,0.00158747,0.00147408,-0.00258678,-0.000862261,6.83E-06,0,0.979043,72.3133,0.121994,0,0.000945455,0,7.41216,5811.09,95.8441,114.734,74.4272,16.0428,514.519,80.36,0.0433574,7.03406,0.94896,5532.53,61.3057,0
7,0,3.50104,0.00167815,0.00155828,-0.00253069,-0.000843563,0,0,0.979032,72.3197,0.137742,0,0.0012562,0,7.41205,5812.72,95.8504,114.747,74.4355,16.0428,514.519,80.3753,0.0433574,7.03406,0.948764,5532.54,61.0644,0
7,0,3.50104,0.00167815,0.00155828,-0.00253069,-0.000843563,0,0,0.979032,72.3197,0.137742,0,0.0012562,0,7.41205,5812.72,95.8504,114.747,74.4355,16.0428,514.519,80.3753,0.0433574,7.03406,0.948764,5532.54,61.0644,0
8,0,3.50096,0.00172771,0.0016043,-0.00246286,-0.000820955,0,0,0.979047,72.1962,0.150631,0,0.00160146,0,7.41223,5807.2,95.8168,114.701,74.4001,16.0428,514.519,80.4364,0.0433574,7.03406,0.949318,5532.55,61.023,0
8,0,3.50096,0.00172771,0.0016043,-0.00246286,-0.000820955,0,0,0.979047,72.1962,0.150631,0,0.00160146,0,7.41223,5807.2,95.8168,114.701,74.4001,16.0428,514.519,80.4364,0.0433574,7.03406,0.949318,5532.55,61.023,0
9,0,3.50046,0.00174112,0.00161675,-0.0024068,-0.000802265,6.88E-07,0,0.979045,72.1128,0.163159,0,0.00197806,0,7.41221,5802.79,95.7691,114.644,74.3595,16.0428,515.797,80.4683,0.0433955,7.05088,0.949541,5532.55,61.3963,0
9,0,3.50046,0.00174112,0.00161675,-0.0024068,-0.000802265,6.88E-07,0,0.979045,72.1128,0.163159,0,0.00197806,0,7.41221,5802.79,95.7691,114.644,74.3595,16.0428,515.797,80.4683,0.0433955,7.05088,0.949541,5532.55,61.3963,0
10,0,3.50029,0.00175045,0.00162542,-0.00236174,-0.000787248,6.49E-06,0,0.979026,72.0192,0.175712,0,0.00238394,0,7.41202,5797.62,95.6902,114.555,74.2947,16.0428,515.797,80.5011,0.0433955,7.05088,0.949558,5532.56,61.6145,0
10,0,3.50029,0.00175045,0.00162542,-0.00236174,-0.000787248,6.49E-06,0,0.979026,72.0192,0.175712,0,0.00238394,0,7.41202,5797.62,95.6902,114.555,74.2947,16.0428,515.797,80.5011,0.0433955,7.05088,0.949558,5532.56,61.6145,0
11,0,3.50025,0.00175855,0.00163294,-0.00231914,-0.000773047,0,0,0.979024,71.8664,0.16414,0,0.00278896,0,7.412,5788.42,95.5678,114.413,74.1887,16.0428,515.797,80.5442,0.0433955,7.05088,0.94978,5532.57,61.5657,0
11,0,3.50025,0.00175855,0.00163294,-0.00231914,-0.000773047,0,0,0.979024,71.8664,0.16414,0,0.00278896,0,7.412,5788.42,95.5678,114.413,74.1887,16.0428,515.797,80.5442,0.0433955,7.05088,0.94978,5532.57,61.5657,0
12,0,3.50012,0.00176025,0.00163452,-0.00227928,-0.00075976,0,0,0.979036,69.9614,0.152571,0,0.00316242,0,7.41212,5638.53,94.8961,114.206,73.8545,16.0428,515.797,80.5948,0.0433955,7.05088,0.967862,5532.58,61.2932,0
12,0,3.50012,0.00176025,0.00163452,-0.00227928,-0.00075976,0,0,0.979036,69.9614,0.152571,0,0.00316242,0,7.41212,5638.53,94.8961,114.206,73.8545,16.0428,515.797,80.5948,0.0433955,7.05088,0.967862,5532.58,61.2932,0
13,0,3.49998,0.00175792,0.00163235,-0.00224421,-0.000748068,0,0,0.979035,71.158,0.14076,0,0.00350648,0,7.41211,5776.44,94.0599,113.241,72.7968,15.1515,516.196,81.1777,0.0435357,6.66513,0.936007,5532.59,60.8601,0
13,0,3.49998,0.00175792,0.00163235,-0.00224421,-0.000748068,0,0,0.979035,71.158,0.14076,0,0.00350648,0,7.41211,5776.44,94.0599,113.241,72.7968,15.1515,516.196,81.1777,0.0435357,6.66513,0.936007,5532.59,60.8601,0
14,0,3.49999,0.00175895,0.00163331,-0.00221165,-0.000737218,0,0,0.97899,70.9873,0.128586,0,0.00382276,0,7.41163,5778.08,93.7463,112.896,72.3779,15.1515,516.196,81.3959,0.0435357,6.66513,0.932452,5532.59,60.8178,0
14,0,3.49999,0.00175895,0.00163331,-0.00221165,-0.000737218,0,0,0.97899,70.9873,0.128586,0,0.00382276,0,7.41163,5778.08,93.7463,112.896,72.3779,15.1515,516.196,81.3959,0.0435357,6.66513,0.932452,5532.59,60.8178,0
15,0,3.50016,0.00176631,0.00164015,-0.0021765,-0.0007255,7.29E-07,0,0.978964,70.9738,0.119168,0,0.00411403,0,7.41134,5787.31,93.553,112.712,72.1506,15.1515,516.196,81.5415,0.0435357,6.66513,0.928927,5532.6,60.8893,0
15,0,3.50016,0.00176631,0.00164015,-0.0021765,-0.0007255,7.29E-07,0,0.978964,70.9738,0.119168,0,0.00411403,0,7.41134,5787.31,93.553,112.712,72.1506,15.1515,516.196,81.5415,0.0435357,6.66513,0.928927,5532.6,60.8893,0
16,0,3.50032,0.00177623,0.00164936,-0.00213656,-0.000712186,4.75E-06,0,0.978956,70.9182,0.111162,0,0.00438294,0,7.41125,5791.51,93.3962,112.562,71.9754,15.1515,516.196,81.6647,0.0435357,6.66513,0.926592,5532.61,60.7861,0
16,0,3.50032,0.00177623,0.00164936,-0.00213656,-0.000712186,4.75E-06,0,0.978956,70.9182,0.111162,0,0.00438294,0,7.41125,5791.51,93.3962,112.562,71.9754,15.1515,516.196,81.6647,0.0435357,6.66513,0.926592,5532.61,60.7861,0
17,0,3.50045,0.00178725,0.00165959,-0.00209274,-0.000697581,0,0,0.978942,70.8234,0.103919,0,0.00463169,0,7.4111,5791.27,93.2534,112.419,71.8192,15.1515,516.196,81.7706,0.0435357,6.66513,0.925111,5532.62,60.493,0
17,0,3.50045,0.00178725,0.00165959,-0.00209274,-0.000697581,0,0,0.978942,70.8234,0.103919,0,0.00463169,0,7.4111,5791.27,93.2534,112.419,71.8192,15.1515,516.196,81.7706,0.0435357,6.66513,0.925111,5532.62,60.493,0
18,0,3.50065,0.00180255,0.0016738,-0.00204482,-0.000681607,0,0,0.978901,70.7396,0.0973658,0,0.00486224,0,7.41069,5790.76,93.1222,112.287,71.6791,11.0701,528.325,81.8602,0.0443022,4.98324,0.923791,5532.63,60.0461,0
18,0,3.50065,0.00180255,0.0016738,-0.00204482,-0.000681607,0,0,0.978901,70.7396,0.0973658,0,0.00486224,0,7.41069,5790.76,93.1222,112.287,71.6791,11.0701,528.325,81.8602,0.0443022,4.98324,0.923791,5532.63,60.0461,0
19,0,3.50104,0.00182876,0.00169813,-0.00198865,-0.000662882,0,0,0.978792,70.6623,0.0910791,0,0.00507634,0,7.40963,5794.38,92.8973,112.07,71.4446,11.0701,528.325,82.001,0.0443022,4.98324,0.920797,5532.64,59.505,0
19,0,3.50104,0.00182876,0.00169813,-0.00198865,-0.000662882,0,0,0.978792,70.6623,0.0910791,0,0.00507634,0,7.40963,5794.38,92.8973,112.07,71.4446,11.0701,528.325,82.001,0.0443022,4.98324,0.920797,5532.64,59.505,0
20,0,3.50178,0.00187462,0.00174071,-0.0019161,-0.000638701,0,0,0.978569,70.639,0.0843784,0,0.00527528,0,7.40747,5796.56,92.801,111.978,71.3447,11.0701,528.325,82.059,0.0443022,4.98324,0.919412,5532.65,59.3615,0
20,0,3.50178,0.00187462,0.00174071,-0.0019161,-0.000638701,0,0,0.978569,70.639,0.0843784,0,0.00527528,0,7.40747,5796.56,92.801,111.978,71.3447,11.0701,528.325,82.059,0.0443022,4.98324,0.919412,5532.65,59.3615,0
21,0,3.5028,0.00194316,0.00180437,-0.00181818,-0.000606059,6.07E-07,0,0.978403,70.5834,0.0792648,0,0.00546068,0,7.40585,5795.84,92.7087,111.885,71.2477,11.0701,528.325,82.1133,0.0443022,4.98324,0.91853,5532.66,59.4159,0
21,0,3.5028,0.00194316,0.00180437,-0.00181818,-0.000606059,6.07E-07,0,0.978403,70.5834,0.0792648,0,0.00546068,0,7.40585,5795.84,92.7087,111.885,71.2477,11.0701,528.325,82.1133,0.0443022,4.98324,0.91853,5532.66,59.4159,0
22,0,3.5039,0.00203116,0.00188607,-0.00168956,-0.000563186,5.19E-06,0,0.978283,70.4762,0.0749426,0,0.00563407,0,7.4047,5790.71,92.6145,111.784,71.1471,11.0701,528.325,82.1655,0.0443022,4.98324,0.918324,5532.67,59.3305,0
22,0,3.5039,0.00203116,0.00188607,-0.00168956,-0.000563186,5.19E-06,0,0.978283,70.4762,0.0749426,0,0.00563407,0,7.4047,5790.71,92.6145,111.784,71.1471,11.0701,528.325,82.1655,0.0443022,4.98324,0.918324,5532.67,59.3305,0
23,0,3.50498,0.00213503,0.00198253,-0.00152964,-0.000509881,1.71E-06,0,0.978172,70.3428,0.0710243,0,0.00579662,0,7.40365,5783.14,92.5192,111.677,71.0441,11.0701,528.325,82.2136,0.0443022,4.98324,0.918495,5532.68,59.0577,0
23,0,3.50498,0.00213503,0.00198253,-0.00152964,-0.000509881,1.71E-06,0,0.978172,70.3428,0.0710243,0,0.00579662,0,7.40365,5783.14,92.5192,111.677,71.0441,11.0701,528.325,82.2136,0.0443022,4.98324,0.918495,5532.68,59.0577,0
