Time(s),totalNaloxone_mg,m_AfferentChemoreceptor_Hz ,m_CentralFrequencyDelta_Per_min ,m_CentralPressureDelta_cmH2O ,m_PeripheralFrequencyDelta_Per_min ,m_PeripheralPressureDelta_cmH2O ,m_OxygenAutoregulatorHeart ,m_OxygenAutoregulatorMuscle ,OxygenSaturation,HeartRate(1/min),Fentanyl-PlasmaConcentration(ug/mL),Naloxone-PlasmaConcentration,Fentanyl-EffectSiteConcentration(ug/mL),Naloxone-EffectSiteConcentration,ArterialBloodPH,CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),TidalVolume(mL),HeartStrokeVolume(mL),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),SystemicVascularResistance(mmHg_s/mL),BloodVolume(mL),MeanUrineOutput(mL/hr),NeuromuscularBlockLevel
1,0,3.49988,0.00108718,0.00100953,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0170887,0,2.09E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
1,0,3.49988,0.00108718,0.00100953,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0170887,0,2.09E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
2,0,3.49924,0.00115823,0.0010755,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0333504,0,8.23E-05,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948979,5532.51,60.6791,0
2,0,3.49924,0.00115823,0.0010755,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0333504,0,8.23E-05,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948979,5532.51,60.6791,0
3,0,3.5005,0.00129663,0.00120402,-0.00275887,-0.000919622,0,0,0.979041,72.3615,0.0482739,0,0.000181269,0,7.4121,5809.46,95.8084,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8012,0
3,0,3.5005,0.00129663,0.00120402,-0.00275887,-0.000919622,0,0,0.979041,72.3615,0.0482739,0,0.000181269,0,7.4121,5809.46,95.8084,114.695,74.4127,16.0428,514.497,80.2838,0.0433569,7.03376,0.948842,5532.52,60.8012,0
4,0,3.50117,0.00143438,0.00133192,-0.00269066,-0.000896886,3.57E-06,0,0.979053,72.3298,0.0621245,0,0.000314877,0,7.41223,5809.21,95.8174,114.701,74.4096,16.0428,514.497,80.3155,0.0433569,7.03376,0.948983,5532.52,61.1849,0
4,0,3.50117,0.00143438,0.00133192,-0.00269066,-0.000896886,3.57E-06,0,0.979053,72.3298,0.0621245,0,0.000314877,0,7.41223,5809.21,95.8174,114.701,74.4096,16.0428,514.497,80.3155,0.0433569,7.03376,0.948983,5532.52,61.1849,0
5,0,3.50036,0.00151696,0.0014086,-0.00262792,-0.000875975,1.21E-05,0,0.979059,72.3102,0.0750777,0,0.000480406,0,7.41231,5809.54,95.8317,114.715,74.416,16.0428,514.517,80.3419,0.0433571,7.03404,0.949082,5532.53,61.361,0
5,0,3.50036,0.00151696,0.0014086,-0.00262792,-0.000875975,1.21E-05,0,0.979059,72.3102,0.0750777,0,0.000480406,0,7.41231,5809.54,95.8317,114.715,74.416,16.0428,514.517,80.3419,0.0433571,7.03404,0.949082,5532.53,61.361,0
