Time(s),totalNaloxone_mg,m_AfferentChemoreceptor_Hz ,m_CentralFrequencyDelta_Per_min ,m_CentralPressureDelta_cmH2O ,m_PeripheralFrequencyDelta_Per_min ,m_PeripheralPressureDelta_cmH2O ,m_OxygenAutoregulatorHeart ,m_OxygenAutoregulatorMuscle ,OxygenSaturation,HeartRate(1/min),Fentanyl-PlasmaConcentration(ug/mL),Naloxone-PlasmaConcentration,Fentanyl-EffectSiteConcentration(ug/mL),Naloxone-EffectSiteConcentration,ArterialBloodPH,CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),TidalVolume(mL),HeartStrokeVolume(mL),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),SystemicVascularResistance(mmHg_s/mL),BloodVolume(mL),MeanUrineOutput(mL/hr),NeuromuscularBlockLevel
1.00,0,3.49982,0.00108347,0.00100608,-0.00281751,-0.000939172,3.33428e-06,0,0.979062,72,0.000627774,-1.$,7.63199e-07,-1.$,7.41234,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.52,60.9548,0
1.00,0,3.49982,0.00108347,0.00100608,-0.00281751,-0.000939172,3.33428e-06,0,0.979062,72,0.000627774,-1.$,7.63199e-07,-1.$,7.41234,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.52,60.9548,0
2.00,0,3.49906,0.00114349,0.00106181,-0.00279634,-0.000932113,0,0,0.979058,72.3733,0.00124083,0,3.03604e-06,0,7.41233,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.55,60.6793,0
2.00,0,3.49906,0.00114349,0.00106181,-0.00279634,-0.000932113,0,0,0.979058,72.3733,0.00124083,0,3.03604e-06,0,7.41233,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.55,60.6793,0
3.00,0,3.50015,0.00126466,0.00117433,-0.0027706,-0.000923532,0,0,0.979041,72.3615,0.00181788,0,6.74323e-06,0,7.41216,5809.46,95.8084,114.695,74.4126,16.0428,514.497,80.2838,0.0433569,7.03376,0.94884,5532.57,60.802,0
3.00,0,3.50015,0.00126466,0.00117433,-0.0027706,-0.000923532,0,0,0.979041,72.3615,0.00181788,0,6.74323e-06,0,7.41216,5809.46,95.8084,114.695,74.4126,16.0428,514.497,80.2838,0.0433569,7.03376,0.94884,5532.57,60.802,0
4.00,0,3.50065,0.00138065,0.00128203,-0.00271509,-0.000905029,3.62999e-06,0,0.979054,72.33,0.00236628,0,1.18052e-05,0,7.4123,5809.22,95.8175,114.701,74.4096,16.0428,514.497,80.3156,0.0433569,7.03376,0.948979,5532.59,61.1866,0
4.00,0,3.50065,0.00138065,0.00128203,-0.00271509,-0.000905029,3.62999e-06,0,0.979054,72.33,0.00236628,0,1.18052e-05,0,7.4123,5809.22,95.8175,114.701,74.4096,16.0428,514.497,80.3156,0.0433569,7.03376,0.948979,5532.59,61.1866,0
5.00,0,3.49967,0.0014386,0.00133584,-0.00266998,-0.000889995,1.23178e-05,0,0.97906,72.3108,0.00289028,0,1.81459e-05,0,7.41239,5809.59,95.8321,114.716,74.4162,16.0428,514.516,80.3419,0.0433563,7.03402,0.949076,5532.61,61.3638,0
5.00,0,3.49967,0.0014386,0.00133584,-0.00266998,-0.000889995,1.23178e-05,0,0.97906,72.3108,0.00289028,0,1.81459e-05,0,7.41239,5809.59,95.8321,114.716,74.4162,16.0428,514.516,80.3419,0.0433563,7.03402,0.949076,5532.61,61.3638,0
6.00,0,3.49955,0.00150622,0.00139863,-0.00265092,-0.000883641,7.30059e-06,0,0.979044,72.3189,0.00338849,0,2.56911e-05,0,7.41225,5811.4,95.8489,114.738,74.4302,16.0428,514.516,80.3579,0.0433563,7.03402,0.948958,5532.63,61.3112,0
6.00,0,3.49955,0.00150622,0.00139863,-0.00265092,-0.000883641,7.30059e-06,0,0.979044,72.3189,0.00338849,0,2.56911e-05,0,7.41225,5811.4,95.8489,114.738,74.4302,16.0428,514.516,80.3579,0.0433563,7.03402,0.948958,5532.63,61.3112,0
7.00,0,3.50082,0.00162808,0.00151179,-0.00261062,-0.000870208,0,0,0.979033,72.3358,0.00386254,0,3.437e-05,0,7.41216,5813.56,95.8635,114.761,74.4445,16.0428,514.516,80.3691,0.0433563,7.03402,0.94876,5532.66,61.0745,0
7.00,0,3.50082,0.00162808,0.00151179,-0.00261062,-0.000870208,0,0,0.979033,72.3358,0.00386254,0,3.437e-05,0,7.41216,5813.56,95.8635,114.761,74.4445,16.0428,514.516,80.3691,0.0433563,7.03402,0.94876,5532.66,61.0745,0
8.00,0,3.50103,0.00172835,0.00160489,-0.00254307,-0.00084769,0,0,0.979049,72.2772,0.00426797,0,4.41077e-05,0,7.41234,5811.57,95.8791,114.77,74.4486,16.0428,514.516,80.4067,0.0433563,7.03402,0.949252,5532.68,61.0432,0
8.00,0,3.50103,0.00172835,0.00160489,-0.00254307,-0.00084769,0,0,0.979049,72.2772,0.00426797,0,4.41077e-05,0,7.41234,5811.57,95.8791,114.77,74.4486,16.0428,514.516,80.4067,0.0433563,7.03402,0.949252,5532.68,61.0432,0
9.00,0,3.50005,0.00177768,0.00165071,-0.0024924,-0.000830799,1.01804e-06,0,0.979047,72.2658,0.00466792,0,5.48318e-05,0,7.41233,5811.25,95.886,114.776,74.4539,16.0428,514.533,80.415,0.04337,7.03426,0.949376,5532.7,61.4363,0
