Time(s),totalNaloxone_mg,m_AfferentChemoreceptor_Hz ,m_CentralFrequencyDelta_Per_min ,m_CentralPressureDelta_cmH2O ,m_PeripheralFrequencyDelta_Per_min ,m_PeripheralPressureDelta_cmH2O ,m_OxygenAutoregulatorHeart ,m_OxygenAutoregulatorMuscle ,OxygenSaturation,HeartRate(1/min),Fentanyl-PlasmaConcentration(ug/mL),Naloxone-PlasmaConcentration,Fentanyl-EffectSiteConcentration(ug/mL),Naloxone-EffectSiteConcentration,ArterialBloodPH,CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),TidalVolume(mL),HeartStrokeVolume(mL),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),SystemicVascularResistance(mmHg_s/mL),BloodVolume(mL),MeanUrineOutput(mL/hr),NeuromuscularBlockLevel
1.00,0,3.49982,0.00108347,0.00100608,-0.00281751,-0.000939172,3.33428e-06,0,0.979062,72,0.00533608,-1.$,6.48719e-06,-1.$,7.41234,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.52,60.9548,0
1.00,0,3.49982,0.00108347,0.00100608,-0.00281751,-0.000939172,3.33428e-06,0,0.979062,72,0.00533608,-1.$,6.48719e-06,-1.$,7.41234,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.52,60.9548,0
2.00,0,3.49906,0.00114349,0.00106181,-0.00279634,-0.000932113,0,0,0.979058,72.3733,0.010547,0,2.58063e-05,0,7.41233,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.55,60.6793,0
2.00,0,3.49906,0.00114349,0.00106181,-0.00279634,-0.000932113,0,0,0.979058,72.3733,0.010547,0,2.58063e-05,0,7.41233,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.55,60.6793,0
3.00,0,3.50015,0.00126465,0.00117432,-0.0027706,-0.000923532,0,0,0.979041,72.3615,0.015452,0,5.73175e-05,0,7.41216,5809.46,95.8084,114.695,74.4126,16.0428,514.497,80.2838,0.0433569,7.03376,0.94884,5532.57,60.802,0
3.00,0,3.50015,0.00126465,0.00117432,-0.0027706,-0.000923532,0,0,0.979041,72.3615,0.015452,0,5.73175e-05,0,7.41216,5809.46,95.8084,114.695,74.4126,16.0428,514.497,80.2838,0.0433569,7.03376,0.94884,5532.57,60.802,0
4.00,0,3.50065,0.00138062,0.001282,-0.00271509,-0.00090503,3.62997e-06,0,0.979054,72.33,0.0201134,0,0.000100345,0,7.4123,5809.22,95.8175,114.701,74.4096,16.0428,514.497,80.3156,0.0433569,7.03376,0.948979,5532.59,61.1866,0
4.00,0,3.50065,0.00138062,0.001282,-0.00271509,-0.00090503,3.62997e-06,0,0.979054,72.33,0.0201134,0,0.000100345,0,7.4123,5809.22,95.8175,114.701,74.4096,16.0428,514.497,80.3156,0.0433569,7.03376,0.948979,5532.59,61.1866,0
5.00,0,3.49967,0.00143851,0.00133576,-0.00266999,-0.000889995,1.23176e-05,0,0.97906,72.3108,0.0245674,0,0.00015424,0,7.41239,5809.59,95.8321,114.716,74.4162,16.0428,514.516,80.3419,0.0433564,7.03402,0.949076,5532.61,61.3638,0
5.00,0,3.49967,0.00143851,0.00133576,-0.00266999,-0.000889995,1.23176e-05,0,0.97906,72.3108,0.0245674,0,0.00015424,0,7.41239,5809.59,95.8321,114.716,74.4162,16.0428,514.516,80.3419,0.0433564,7.03402,0.949076,5532.61,61.3638,0
