Time(s),totalNaloxone_mg,m_AfferentChemoreceptor_Hz ,m_CentralFrequencyDelta_Per_min ,m_CentralPressureDelta_cmH2O ,m_PeripheralFrequencyDelta_Per_min ,m_PeripheralPressureDelta_cmH2O ,m_OxygenAutoregulatorHeart ,m_OxygenAutoregulatorMuscle ,OxygenSaturation,HeartRate(1/min),Fentanyl-PlasmaConcentration(ug/mL),Naloxone-PlasmaConcentration,Fentanyl-EffectSiteConcentration(ug/mL),Naloxone-EffectSiteConcentration,ArterialBloodPH,CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),TidalVolume(mL),HeartStrokeVolume(mL),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),SystemicVascularResistance(mmHg_s/mL),BloodVolume(mL),MeanUrineOutput(mL/hr),NeuromuscularBlockLevel
1.00,0,3.49982,0.00108347,0.00100608,-0.00281751,-0.000939172,3.33428e-06,0,0.979062,72,0.00408053,-1.$,4.96079e-06,-1.$,7.41234,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.52,60.9548,0
1.00,0,3.49982,0.00108347,0.00100608,-0.00281751,-0.000939172,3.33428e-06,0,0.979062,72,0.00408053,-1.$,4.96079e-06,-1.$,7.41234,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.52,60.9548,0
2.00,0,3.49906,0.00114349,0.00106181,-0.00279634,-0.000932113,0,0,0.979058,72.3733,0.00806537,0,1.97342e-05,0,7.41233,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.55,60.6793,0
2.00,0,3.49906,0.00114349,0.00106181,-0.00279634,-0.000932113,0,0,0.979058,72.3733,0.00806537,0,1.97342e-05,0,7.41233,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.55,60.6793,0
3.00,0,3.50015,0.00126466,0.00117432,-0.0027706,-0.000923532,0,0,0.979041,72.3615,0.0118162,0,4.3831e-05,0,7.41216,5809.46,95.8084,114.695,74.4126,16.0428,514.497,80.2838,0.0433569,7.03376,0.94884,5532.57,60.802,0
3.00,0,3.50015,0.00126466,0.00117432,-0.0027706,-0.000923532,0,0,0.979041,72.3615,0.0118162,0,4.3831e-05,0,7.41216,5809.46,95.8084,114.695,74.4126,16.0428,514.497,80.2838,0.0433569,7.03376,0.94884,5532.57,60.802,0
4.00,0,3.50065,0.00138063,0.00128202,-0.00271509,-0.000905029,3.62998e-06,0,0.979054,72.33,0.0153808,0,7.67341e-05,0,7.4123,5809.22,95.8175,114.701,74.4096,16.0428,514.497,80.3156,0.0433569,7.03376,0.948979,5532.59,61.1866,0
4.00,0,3.50065,0.00138063,0.00128202,-0.00271509,-0.000905029,3.62998e-06,0,0.979054,72.33,0.0153808,0,7.67341e-05,0,7.4123,5809.22,95.8175,114.701,74.4096,16.0428,514.497,80.3156,0.0433569,7.03376,0.948979,5532.59,61.1866,0
5.00,0,3.49967,0.00143856,0.0013358,-0.00266998,-0.000889995,1.23177e-05,0,0.97906,72.3108,0.0187868,0,0.000117948,0,7.41239,5809.59,95.8321,114.716,74.4162,16.0428,514.516,80.3419,0.0433563,7.03402,0.949076,5532.61,61.3638,0
5.00,0,3.49967,0.00143856,0.0013358,-0.00266998,-0.000889995,1.23177e-05,0,0.97906,72.3108,0.0187868,0,0.000117948,0,7.41239,5809.59,95.8321,114.716,74.4162,16.0428,514.516,80.3419,0.0433563,7.03402,0.949076,5532.61,61.3638,0
6.00,0,3.49955,0.00150608,0.0013985,-0.00265091,-0.000883637,7.29989e-06,0,0.979044,72.3189,0.0220252,0,0.000166992,0,7.41225,5811.4,95.8489,114.738,74.4301,16.0428,514.516,80.3579,0.0433563,7.03402,0.948958,5532.63,61.3112,0
6.00,0,3.49955,0.00150608,0.0013985,-0.00265091,-0.000883637,7.29989e-06,0,0.979044,72.3189,0.0220252,0,0.000166992,0,7.41225,5811.4,95.8489,114.738,74.4301,16.0428,514.516,80.3579,0.0433563,7.03402,0.948958,5532.63,61.3112,0
7.00,0,3.50081,0.00162751,0.00151126,-0.00261066,-0.000870219,0,0,0.979033,72.3357,0.0251065,0,0.000223405,0,7.41216,5813.56,95.8634,114.761,74.4445,16.0428,514.516,80.3691,0.0433563,7.03402,0.94876,5532.66,61.0744,0
7.00,0,3.50081,0.00162751,0.00151126,-0.00261066,-0.000870219,0,0,0.979033,72.3357,0.0251065,0,0.000223405,0,7.41216,5813.56,95.8634,114.761,74.4445,16.0428,514.516,80.3691,0.0433563,7.03402,0.94876,5532.66,61.0744,0
8.00,0,3.50102,0.00172701,0.00160365,-0.00254329,-0.000847763,0,0,0.979049,72.2767,0.0277418,0,0.0002867,0,7.41234,5811.55,95.8788,114.769,74.4483,16.0428,514.516,80.4069,0.0433563,7.03402,0.949252,5532.68,61.0431,0
8.00,0,3.50102,0.00172701,0.00160365,-0.00254329,-0.000847763,0,0,0.979049,72.2767,0.0277418,0,0.0002867,0,7.41234,5811.55,95.8788,114.769,74.4483,16.0428,514.516,80.4069,0.0433563,7.03402,0.949252,5532.68,61.0431,0
9.00,0,3.50006,0.0017755,0.00164868,-0.00249268,-0.000830895,1.01555e-06,0,0.979047,72.2648,0.0303415,0,0.000356407,0,7.41233,5811.2,95.8853,114.775,74.4533,16.0428,514.539,80.4153,0.0433702,7.03435,0.949377,5532.7,61.4361,0
9.00,0,3.50006,0.0017755,0.00164868,-0.00249268,-0.000830895,1.01555e-06,0,0.979047,72.2648,0.0303415,0,0.000356407,0,7.41233,5811.2,95.8853,114.775,74.4533,16.0428,514.539,80.4153,0.0433702,7.03435,0.949377,5532.7,61.4361,0
10.00,0,3.50048,0.00185939,0.00172658,-0.00245538,-0.000818461,9.16632e-06,0,0.979029,72.2817,0.0329589,0,0.000432225,0,7.41215,5812.5,95.8907,114.785,74.4617,16.0428,514.539,80.4145,0.0433702,7.03435,0.949222,5532.73,61.6859,0
10.00,0,3.50048,0.00185939,0.00172658,-0.00245538,-0.000818461,9.16632e-06,0,0.979029,72.2817,0.0329589,0,0.000432225,0,7.41215,5812.5,95.8907,114.785,74.4617,16.0428,514.539,80.4145,0.0433702,7.03435,0.949222,5532.73,61.6859,0
11.00,0,3.50167,0.00198412,0.0018424,-0.00238621,-0.000795403,6.71983e-06,0,0.97903,72.2832,0.035475,0,0.000513845,0,7.41216,5812.8,95.8913,114.788,74.4634,16.0428,514.539,80.417,0.0433702,7.03435,0.949181,5532.75,61.6892,0
11.00,0,3.50167,0.00198412,0.0018424,-0.00238621,-0.000795403,6.71983e-06,0,0.97903,72.2832,0.035475,0,0.000513845,0,7.41216,5812.8,95.8913,114.788,74.4634,16.0428,514.539,80.417,0.0433702,7.03435,0.949181,5532.75,61.6892,0
12.00,0,3.50144,0.00206882,0.00192105,-0.00230024,-0.000766745,0,0,0.979043,72.252,0.0378917,0,0.000600964,0,7.41231,5810.98,95.8879,114.778,74.4561,16.0428,514.772,80.4266,0.0433578,7.03742,0.949444,5532.78,61.495,0
12.00,0,3.50144,0.00206882,0.00192105,-0.00230024,-0.000766745,0,0,0.979043,72.252,0.0378917,0,0.000600964,0,7.41231,5810.98,95.8879,114.778,74.4561,16.0428,514.772,80.4266,0.0433578,7.03742,0.949444,5532.78,61.495,0
13.00,0,3.50052,0.00211438,0.00196335,-0.00223724,-0.000745748,0,0,0.979039,72.2436,0.0398717,0,0.000693267,0,7.41229,5810.28,95.8826,114.771,74.4528,16.0428,514.772,80.4263,0.0433578,7.03742,0.949503,5532.8,61.3269,0
13.00,0,3.50052,0.00211438,0.00196335,-0.00223724,-0.000745748,0,0,0.979039,72.2436,0.0398717,0,0.000693267,0,7.41229,5810.28,95.8826,114.771,74.4528,16.0428,514.772,80.4263,0.0433578,7.03742,0.949503,5532.8,61.3269,0
14.00,0,3.50125,0.00220739,0.00204972,-0.00217892,-0.000726307,0,0,0.979025,72.2636,0.0417481,0,0.000790363,0,7.41213,5811.45,95.8783,114.771,74.4532,16.0428,514.772,80.4202,0.0433578,7.03742,0.949267,5532.82,61.6771,0
