Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.2089,25.1406,73.7705,-1.$,7.35643,5892.37,0.999956,95.7044,113.421,75.3311,0.0441371,13.9535,147.081,526.452,0.934529,37.3989,4882.77,71.629,0,0.000802667,124.698,0
1,0,0,0,0,0,27.2089,25.1406,73.7705,-1.$,7.35643,5892.37,0.999956,95.7044,113.421,75.3311,0.0441371,13.9535,147.081,526.452,0.934529,37.3989,4882.77,71.629,0,0.000802667,124.698,0
2,0,0,0,0,0,27.1568,25.0273,72.4873,0,7.35623,5789.82,0.999912,94.931,113.214,74.3416,0.0441371,13.9535,122.614,526.452,0.943092,37.3991,4881.66,71.7965,0,0.000802612,101.16,0
2,0,0,0,0,0,27.1568,25.0273,72.4873,0,7.35623,5789.82,0.999912,94.931,113.214,74.3416,0.0441371,13.9535,122.614,526.452,0.943092,37.3991,4881.66,71.7965,0,0.000802612,101.16,0
3,0,0,0,0,0,27.0937,24.9598,72.5523,0,7.35591,5798.69,0.999868,94.8046,113.082,74.1462,0.0441371,13.9535,100.863,526.452,0.940364,37.3992,4880.57,71.6918,0,0.000802602,82.2379,-1.77E-17
3,0,0,0,0,0,27.0937,24.9598,72.5523,0,7.35591,5798.69,0.999868,94.8046,113.082,74.1462,0.0441371,13.9535,100.863,526.452,0.940364,37.3992,4880.57,71.6918,0,0.000802602,82.2379,-1.77E-17
4,0,0,0,0,0,27.0585,24.9496,72.6513,0,7.35591,5807.01,0.999824,94.7616,113.055,74.0875,0.0441371,13.9535,83.397,526.452,0.938593,37.3993,4879.5,71.3775,0,0.000802625,67.7824,0
4,0,0,0,0,0,27.0585,24.9496,72.6513,0,7.35591,5807.01,0.999824,94.7616,113.055,74.0875,0.0441371,13.9535,83.397,526.452,0.938593,37.3993,4879.5,71.3775,0,0.000802625,67.7824,0
5,0,0,0,0,0,27.059,24.9745,72.7764,0,7.35618,5819.87,0.99978,94.7687,113.095,74.0731,0.0441371,13.9535,111.391,526.452,0.936641,37.3994,4878.44,71.0233,0,0.000802654,97.7225,1.77E-17
5,0,0,0,0,0,27.059,24.9745,72.7764,0,7.35618,5819.87,0.99978,94.7687,113.095,74.0731,0.0441371,13.9535,111.391,526.452,0.936641,37.3994,4878.44,71.0233,0,0.000802654,97.7225,1.77E-17
6,0,0,0,0,0,27.1089,24.9972,72.8245,0,7.35611,5825.22,0.999736,94.7932,113.136,74.0911,0.0441628,13.9535,148.035,526.579,0.936058,37.3996,4877.32,71.2258,0,0.000802587,125.999,0
