Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.1909,25.1209,73.7705,-1.$,7.35643,5893.81,0.999956,95.6281,113.386,75.1839,0.0441371,13.9535,146.833,526.452,0.933525,37.3989,4882.35,71.6164,0,0.000802669,124.959,0
1,0,0,0,0,0,27.1909,25.1209,73.7705,-1.$,7.35643,5893.81,0.999956,95.6281,113.386,75.1839,0.0441371,13.9535,146.833,526.452,0.933525,37.3989,4882.35,71.6164,0,0.000802669,124.959,0
2,0,0,0,0,0,27.0805,24.9433,72.4873,0,7.35622,5794.41,0.999912,94.7592,113.063,74.2146,0.0441371,13.9535,122.284,526.452,0.940569,37.3991,4880.81,71.7584,0,0.000802617,101.27,0
2,0,0,0,0,0,27.0805,24.9433,72.4873,0,7.35622,5794.41,0.999912,94.7592,113.063,74.2146,0.0441371,13.9535,122.284,526.452,0.940569,37.3991,4880.81,71.7584,0,0.000802617,101.27,0
3,0,0,0,0,0,26.9978,24.8544,72.5644,0,7.35591,5804.56,0.999868,94.5939,112.887,73.9654,0.0441371,13.9535,100.474,526.452,0.937238,37.3992,4879.31,71.6232,0,0.000802611,82.2434,0
3,0,0,0,0,0,26.9978,24.8544,72.5644,0,7.35591,5804.56,0.999868,94.5939,112.887,73.9654,0.0441371,13.9535,100.474,526.452,0.937238,37.3992,4879.31,71.6232,0,0.000802611,82.2434,0
4,0,0,0,0,0,26.9592,24.8406,72.7119,0,7.3559,5815.66,0.999824,94.5334,112.851,73.8912,0.0441371,13.9535,82.9812,526.452,0.934851,37.3993,4877.84,71.2774,0,0.000802635,67.7306,-1.77E-17
4,0,0,0,0,0,26.9592,24.8406,72.7119,0,7.3559,5815.66,0.999824,94.5334,112.851,73.8912,0.0441371,13.9535,82.9812,526.452,0.934851,37.3993,4877.84,71.2774,0,0.000802635,67.7306,-1.77E-17
5,0,0,0,0,0,26.9608,24.8666,72.9134,0,7.35618,5833.08,0.99978,94.5255,112.891,73.866,0.0441371,13.9535,111.318,526.452,0.932036,37.3993,4876.37,70.8934,0,0.000802665,97.9898,1.77E-17
5,0,0,0,0,0,26.9608,24.8666,72.9134,0,7.35618,5833.08,0.99978,94.5255,112.891,73.866,0.0441371,13.9535,111.318,526.452,0.932036,37.3993,4876.37,70.8934,0,0.000802665,97.9898,1.77E-17
