Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.155,25.0814,73.7705,-1.$,7.35642,5896.68,0.999956,95.4759,113.316,74.8904,0.0441371,13.9535,146.338,526.452,0.931522,37.3989,4881.49,71.5912,0,0.000802674,125.479,3.53E-17
1,0,0,0,0,0,27.155,25.0814,73.7705,-1.$,7.35642,5896.68,0.999956,95.4759,113.316,74.8904,0.0441371,13.9535,146.338,526.452,0.931522,37.3989,4881.49,71.5912,0,0.000802674,125.479,3.53E-17
2,0,0,0,0,0,26.9274,24.775,72.4873,0,7.35622,5803.54,0.999912,94.4172,112.761,73.9615,0.0441371,13.9535,121.626,526.452,0.935555,37.3991,4879.12,71.6823,0,0.000802629,101.487,0
2,0,0,0,0,0,26.9274,24.775,72.4873,0,7.35622,5803.54,0.999912,94.4172,112.761,73.9615,0.0441371,13.9535,121.626,526.452,0.935555,37.3991,4879.12,71.6823,0,0.000802629,101.487,0
3,0,0,0,0,0,26.8058,24.6435,72.5886,0,7.3559,5816.24,0.999868,94.1748,112.5,73.6056,0.0441371,13.9535,99.6972,526.452,0.931037,37.3992,4876.8,71.487,0,0.000802628,82.2512,-1.77E-17
3,0,0,0,0,0,26.8058,24.6435,72.5886,0,7.3559,5816.24,0.999868,94.1748,112.5,73.6056,0.0441371,13.9535,99.6972,526.452,0.931037,37.3992,4876.8,71.487,0,0.000802628,82.2512,-1.77E-17
4,0,0,0,0,0,26.7604,24.6226,72.8335,0,7.35589,5832.83,0.999824,94.0792,112.444,73.5014,0.0441371,13.9535,82.1481,526.452,0.92744,37.3992,4874.53,71.0784,0,0.000802656,67.6222,0
4,0,0,0,0,0,26.7604,24.6226,72.8335,0,7.35589,5832.83,0.999824,94.0792,112.444,73.5014,0.0441371,13.9535,82.1481,526.452,0.92744,37.3992,4874.53,71.0784,0,0.000802656,67.6222,0
5,0,0,0,0,0,26.7633,24.6503,73.1895,0,7.35619,5859.05,0.99978,94.5239,112.484,73.453,0.0441371,13.9535,121.457,526.452,0.927909,37.3993,4872.25,70.702,0,0.000802677,107.368,0
5,0,0,0,0,0,26.7633,24.6503,73.1895,0,7.35619,5859.05,0.99978,94.5239,112.484,73.453,0.0441371,13.9535,121.457,526.452,0.927909,37.3993,4872.25,70.702,0,0.000802677,107.368,0
6,0,0,0,0,0,27.0421,24.9237,73.2911,0,7.3561,5826.89,0.999736,94.9347,112.961,74.2851,0.0441632,13.9535,146.787,526.578,0.93728,37.3995,4869.84,71.0119,0,0.000802576,125.329,0
6,0,0,0,0,0,27.0421,24.9237,73.2911,0,7.3561,5826.89,0.999736,94.9347,112.961,74.2851,0.0441632,13.9535,146.787,526.578,0.93728,37.3995,4869.84,71.0119,0,0.000802576,125.329,0
7,0,0,0,0,0,27.1204,24.9786,73.3673,0,7.35575,5816.88,0.999692,95.0339,113.084,74.5124,0.0441632,13.9535,118.616,526.578,0.939935,37.3996,4867.45,71.2154,0,0.000802499,98.6374,0
7,0,0,0,0,0,27.1204,24.9786,73.3673,0,7.35575,5816.88,0.999692,95.0339,113.084,74.5124,0.0441632,13.9535,118.616,526.578,0.939935,37.3996,4867.45,71.2154,0,0.000802499,98.6374,0
8,0,0,0,0,0,27.0555,24.9381,73.2407,0,7.35566,5800.36,0.999648,95.0213,113.024,74.5304,0.0441632,13.9535,95.1814,526.578,0.942497,37.3997,4865.12,71.0988,0,0.000802484,78.4372,0
8,0,0,0,0,0,27.0555,24.9381,73.2407,0,7.35566,5800.36,0.999648,95.0213,113.024,74.5304,0.0441632,13.9535,95.1814,526.578,0.942497,37.3997,4865.12,71.0988,0,0.000802484,78.4372,0
9,0,0,0,0,0,26.9759,24.876,73.0807,0,7.35583,5781.96,0.999604,94.4826,112.914,74.4366,0.0441632,13.9535,78.3832,526.578,0.939933,37.3997,4862.86,70.6787,0,0.000802523,64.4793,0
9,0,0,0,0,0,26.9759,24.876,73.0807,0,7.35583,5781.96,0.999604,94.4826,112.914,74.4366,0.0441632,13.9535,78.3832,526.578,0.939933,37.3997,4862.86,70.6787,0,0.000802523,64.4793,0
10,0,0,0,0,0,26.6248,24.4848,73.0093,0,7.35593,5817.23,0.99956,93.8827,112.211,73.3945,0.0442174,13.9535,128.603,526.688,0.928116,37.3997,4860.58,70.3488,0,0.00080255,112.995,0
10,0,0,0,0,0,26.6248,24.4848,73.0093,0,7.35593,5817.23,0.99956,93.8827,112.211,73.3945,0.0442174,13.9535,128.603,526.688,0.928116,37.3997,4860.58,70.3488,0,0.00080255,112.995,0
11,0,0,0,0,0,26.707,24.5136,73.2423,0,7.35553,5834.7,0.999516,94.3372,112.238,73.3616,0.0442174,13.9535,144.817,526.688,0.930036,37.3999,4858.17,70.6247,0,0.000802468,122.729,0
11,0,0,0,0,0,26.707,24.5136,73.2423,0,7.35553,5834.7,0.999516,94.3372,112.238,73.3616,0.0442174,13.9535,144.817,526.688,0.930036,37.3999,4858.17,70.6247,0,0.000802468,122.729,0
