Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.2029,25.134,73.7705,-1.$,7.35643,5892.85,0.999956,95.679,113.409,75.282,0.0441371,13.9535,146.998,526.452,0.934194,37.3989,4882.63,71.6248,0,0.000802668,124.785,0
1,0,0,0,0,0,27.2029,25.134,73.7705,-1.$,7.35643,5892.85,0.999956,95.679,113.409,75.282,0.0441371,13.9535,146.998,526.452,0.934194,37.3989,4882.63,71.6248,0,0.000802668,124.785,0
2,0,0,0,0,0,27.1314,24.9993,72.4873,0,7.35623,5791.35,0.999912,94.8737,113.163,74.2993,0.0441371,13.9535,122.504,526.452,0.94225,37.3991,4881.37,71.7838,0,0.000802613,101.197,0
2,0,0,0,0,0,27.1314,24.9993,72.4873,0,7.35623,5791.35,0.999912,94.8737,113.163,74.2993,0.0441371,13.9535,122.504,526.452,0.94225,37.3991,4881.37,71.7838,0,0.000802613,101.197,0
3,0,0,0,0,0,27.0617,24.9247,72.5563,0,7.35591,5800.65,0.999868,94.7343,113.017,74.0859,0.0441371,13.9535,100.734,526.452,0.93932,37.3992,4880.15,71.6689,0,0.000802605,82.2399,0
3,0,0,0,0,0,27.0617,24.9247,72.5563,0,7.35591,5800.65,0.999868,94.7343,113.017,74.0859,0.0441371,13.9535,100.734,526.452,0.93932,37.3992,4880.15,71.6689,0,0.000802605,82.2399,0
4,0,0,0,0,0,27.0254,24.9133,72.6715,0,7.35591,5809.9,0.999824,94.6854,112.987,74.022,0.0441371,13.9535,83.2584,526.452,0.937343,37.3993,4878.95,71.344,0,0.000802628,67.7653,1.77E-17
4,0,0,0,0,0,27.0254,24.9133,72.6715,0,7.35591,5809.9,0.999824,94.6854,112.987,74.022,0.0441371,13.9535,83.2584,526.452,0.937343,37.3993,4878.95,71.344,0,0.000802628,67.7653,1.77E-17
5,0,0,0,0,0,27.0263,24.9385,72.822,0,7.35618,5824.29,0.99978,94.6876,113.027,74.004,0.0441371,13.9535,111.366,526.452,0.935102,37.3994,4877.75,70.98,0,0.000802658,97.8117,0
5,0,0,0,0,0,27.0263,24.9385,72.822,0,7.35618,5824.29,0.99978,94.6876,113.027,74.004,0.0441371,13.9535,111.366,526.452,0.935102,37.3994,4877.75,70.98,0,0.000802658,97.8117,0
