Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.2387,25.1734,72,-1.$,7.35643,5748.62,0.999956,95.3254,113.479,74.5619,0.0441371,13.9535,147.495,526.452,0.953955,37.3989,4883.49,71.6502,0,0.000802664,124.261,0
1,0,0,0,0,0,27.2387,25.1734,72,-1.$,7.35643,5748.62,0.999956,95.3254,113.479,74.5619,0.0441371,13.9535,147.495,526.452,0.953955,37.3989,4883.49,71.6502,0,0.000802664,124.261,0
2,0,0,0,0,0,27.2835,25.1671,74.2822,0,7.35623,5925.34,0.999912,95.7221,113.466,75.4382,0.0441371,13.9535,123.163,526.452,0.92952,37.3991,4883.08,71.8605,0,0.000802602,100.976,0
2,0,0,0,0,0,27.2835,25.1671,74.2822,0,7.35623,5925.34,0.999912,95.7221,113.466,75.4382,0.0441371,13.9535,123.163,526.452,0.92952,37.3991,4883.08,71.8605,0,0.000802602,100.976,0
3,0,0,0,0,0,27.2525,25.1349,72.5319,0,7.35592,5788.88,0.999868,95.1567,113.407,74.4483,0.0441371,13.9535,101.512,526.452,0.945601,37.3993,4882.68,71.8065,0,0.000802587,82.2257,0
3,0,0,0,0,0,27.2525,25.1349,72.5319,0,7.35592,5788.88,0.999868,95.1567,113.407,74.4483,0.0441371,13.9535,101.512,526.452,0.945601,37.3993,4882.68,71.8065,0,0.000802587,82.2257,0
4,0,0,0,0,0,27.2235,25.1312,72.551,0,7.35591,5792.52,0.999824,95.1432,113.397,74.4159,0.0441371,13.9535,84.0888,526.452,0.944883,37.3994,4882.29,71.545,0,0.000802607,67.8648,0
4,0,0,0,0,0,27.2235,25.1312,72.551,0,7.35591,5792.52,0.999824,95.1432,113.397,74.4159,0.0441371,13.9535,84.0888,526.452,0.944883,37.3994,4882.29,71.545,0,0.000802607,67.8648,0
5,0,0,0,0,0,27.2223,25.154,72.5502,0,7.35619,5797.58,0.99978,95.1732,113.436,74.4196,0.0441371,13.9535,111.514,526.452,0.944399,37.3995,4881.9,71.2407,0,0.000802636,97.2766,0
5,0,0,0,0,0,27.2223,25.154,72.5502,0,7.35619,5797.58,0.99978,95.1732,113.436,74.4196,0.0441371,13.9535,111.514,526.452,0.944399,37.3995,4881.9,71.2407,0,0.000802636,97.2766,0
