Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.1311,25.055,73.7705,-1.$,7.35642,5898.59,0.999956,95.3746,113.27,74.6955,0.0441371,13.9535,146.009,526.452,0.93019,37.3989,4880.93,71.5744,0,0.000802677,125.824,3.53E-17
1,0,0,0,0,0,27.1311,25.055,73.7705,-1.$,7.35642,5898.59,0.999956,95.3746,113.27,74.6955,0.0441371,13.9535,146.009,526.452,0.93019,37.3989,4880.93,71.5744,0,0.000802677,125.824,3.53E-17
2,0,0,0,0,0,26.8252,24.6627,72.4873,0,7.35622,5809.61,0.999912,94.1903,112.561,73.7934,0.0441371,13.9535,121.189,526.452,0.932236,37.3991,4878,71.632,0,0.000802637,101.63,0
2,0,0,0,0,0,26.8252,24.6627,72.4873,0,7.35622,5809.61,0.999912,94.1903,112.561,73.7934,0.0441371,13.9535,121.189,526.452,0.932236,37.3991,4878,71.632,0,0.000802637,101.63,0
3,0,0,0,0,0,26.6775,24.5029,72.6048,0,7.35589,5823.99,0.999868,93.8971,112.243,73.3672,0.0441371,13.9535,99.1796,526.452,0.926941,37.3991,4875.14,71.3968,0,0.00080264,82.2541,0
3,0,0,0,0,0,26.6775,24.5029,72.6048,0,7.35589,5823.99,0.999868,93.8971,112.243,73.3672,0.0441371,13.9535,99.1796,526.452,0.926941,37.3991,4875.14,71.3968,0,0.00080264,82.2541,0
4,0,0,0,0,0,26.6275,24.4773,72.915,0,7.35589,5844.18,0.999824,93.7781,112.175,73.2435,0.0441371,13.9535,81.4622,526.452,0.922555,37.3992,4872.34,70.9467,0,0.00080267,67.5453,0
4,0,0,0,0,0,26.6275,24.4773,72.915,0,7.35589,5844.18,0.999824,93.7781,112.175,73.2435,0.0441371,13.9535,81.4622,526.452,0.922555,37.3992,4872.34,70.9467,0,0.00080267,67.5453,0
5,0,0,0,0,0,26.8583,24.7542,73.3715,0,7.3562,5834.44,0.99978,94.5886,112.64,73.9985,0.0441371,13.9535,129.294,526.452,0.932486,37.3992,4869.5,70.6493,0,0.000802673,114.376,0
5,0,0,0,0,0,26.8583,24.7542,73.3715,0,7.3562,5834.44,0.99978,94.5886,112.64,73.9985,0.0441371,13.9535,129.294,526.452,0.932486,37.3992,4869.5,70.6493,0,0.000802673,114.376,0
