Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.2268,25.1603,73.7705,-1.$,7.35643,5890.94,0.999956,95.7808,113.456,75.4787,0.0441371,13.9535,147.33,526.452,0.935535,37.3989,4883.2,71.6417,0,0.000802665,124.436,0
1,0,0,0,0,0,27.2268,25.1603,73.7705,-1.$,7.35643,5890.94,0.999956,95.7808,113.456,75.4787,0.0441371,13.9535,147.33,526.452,0.935535,37.3989,4883.2,71.6417,0,0.000802665,124.436,0
2,0,0,0,0,0,27.233,25.1113,72.4873,0,7.35623,5785.23,0.999912,95.1031,113.365,74.4689,0.0441371,13.9535,122.944,526.452,0.945626,37.3991,4882.51,71.8349,0,0.000802606,101.05,0
2,0,0,0,0,0,27.233,25.1113,72.4873,0,7.35623,5785.23,0.999912,95.1031,113.365,74.4689,0.0441371,13.9535,122.944,526.452,0.945626,37.3991,4882.51,71.8349,0,0.000802606,101.05,0
3,0,0,0,0,0,27.1893,25.0652,72.5402,0,7.35591,5792.8,0.999868,95.0161,113.277,74.3278,0.0441371,13.9535,101.253,526.452,0.943506,37.3993,4881.83,71.7606,0,0.000802593,82.2313,-1.77E-17
3,0,0,0,0,0,27.1893,25.0652,72.5402,0,7.35591,5792.8,0.999868,95.0161,113.277,74.3278,0.0441371,13.9535,101.253,526.452,0.943506,37.3993,4881.83,71.7606,0,0.000802593,82.2313,-1.77E-17
4,0,0,0,0,0,27.1577,25.0587,72.591,0,7.35591,5798.33,0.999824,94.9905,113.26,74.2847,0.0441371,13.9535,83.8121,526.452,0.942361,37.3994,4881.17,71.4779,0,0.000802614,67.8326,0
4,0,0,0,0,0,27.1577,25.0587,72.591,0,7.35591,5798.33,0.999824,94.9905,113.26,74.2847,0.0441371,13.9535,83.8121,526.452,0.942361,37.3994,4881.17,71.4779,0,0.000802614,67.8326,0
5,0,0,0,0,0,27.157,25.0822,72.6402,0,7.35619,5806.53,0.99978,95.0115,113.3,74.2808,0.0441371,13.9535,111.464,526.452,0.941284,37.3994,4880.51,71.1537,0,0.000802643,97.4551,0
5,0,0,0,0,0,27.157,25.0822,72.6402,0,7.35619,5806.53,0.99978,95.0115,113.3,74.2808,0.0441371,13.9535,111.464,526.452,0.941284,37.3994,4880.51,71.1537,0,0.000802643,97.4551,0
6,0,0,0,0,0,27.2044,25.1023,72.67,0,7.35611,5810.52,0.999736,95.0363,113.336,74.2998,0.0441627,13.9535,148.233,526.579,0.940912,37.3997,4879.81,71.3842,0,0.000802576,125.84,0
