Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.1371,25.0616,73.7705,-1.$,7.35642,5898.11,0.999956,95.3999,113.281,74.7442,0.0441371,13.9535,146.091,526.452,0.930523,37.3989,4881.07,71.5786,0,0.000802676,125.738,0
1,0,0,0,0,0,27.1371,25.0616,73.7705,-1.$,7.35642,5898.11,0.999956,95.3999,113.281,74.7442,0.0441371,13.9535,146.091,526.452,0.930523,37.3989,4881.07,71.5786,0,0.000802676,125.738,0
2,0,0,0,0,0,26.8507,24.6908,72.4873,0,7.35622,5808.09,0.999912,94.2469,112.611,73.8353,0.0441371,13.9535,121.298,526.452,0.933064,37.3991,4878.28,71.6445,0,0.000802635,101.594,0
2,0,0,0,0,0,26.8507,24.6908,72.4873,0,7.35622,5808.09,0.999912,94.2469,112.611,73.8353,0.0441371,13.9535,121.298,526.452,0.933064,37.3991,4878.28,71.6445,0,0.000802635,101.594,0
3,0,0,0,0,0,26.7096,24.538,72.6008,0,7.35589,5822.06,0.999868,93.9664,112.307,73.4267,0.0441371,13.9535,99.309,526.452,0.927962,37.3992,4875.56,71.4193,0,0.000802637,82.2535,0
3,0,0,0,0,0,26.7096,24.538,72.6008,0,7.35589,5822.06,0.999868,93.9664,112.307,73.4267,0.0441371,13.9535,99.309,526.452,0.927962,37.3992,4875.56,71.4193,0,0.000802637,82.2535,0
4,0,0,0,0,0,26.6608,24.5136,72.8945,0,7.35589,5841.35,0.999824,93.8533,112.242,73.3078,0.0441371,13.9535,81.7305,526.452,0.923772,37.3992,4872.89,70.9795,0,0.000802667,67.5655,1.77E-17
4,0,0,0,0,0,26.6608,24.5136,72.8945,0,7.35589,5841.35,0.999824,93.8533,112.242,73.3078,0.0441371,13.9535,81.7305,526.452,0.923772,37.3992,4872.89,70.9795,0,0.000802667,67.5655,1.77E-17
5,0,0,0,0,0,26.6642,24.542,73.3286,0,7.35618,5871.8,0.99978,94.2801,112.282,73.2472,0.0441371,13.9535,121.385,526.452,0.923421,37.3992,4870.21,70.5736,0,0.000802688,107.637,0
5,0,0,0,0,0,26.6642,24.542,73.3286,0,7.35618,5871.8,0.99978,94.2801,112.282,73.2472,0.0441371,13.9535,121.385,526.452,0.923421,37.3992,4870.21,70.5736,0,0.000802688,107.637,0
6,0,0,0,0,0,26.9456,24.8176,73.4488,0,7.35609,5842.22,0.999736,94.6941,112.761,74.0748,0.0441633,13.9535,146.54,526.578,0.932374,37.3994,4867.37,70.8554,0,0.000802587,125.44,0
